Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116,Step 117,Step 118,Step 119,Step 120,Step 121,Step 122,Step 123
Variant 56,11,6,"7 days, 19 hours",675128000,"7 days, 11 hours",645524454,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 57,10,14,"7 days, 2 hours",615548000,"6 days, 7 hours",544931200,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 58,10,12,"11 days, 5 hours",968703500,"10 days, 17 hours",925484600,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 59,10,10,"16 days, 5 hours",1403943000,"16 days, 6 hours",1404390700,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 60,10,10,"15 days, 12 hours",1340927500,"15 days, 23 hours",1380785200,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 61,9,11,"10 days, 13 hours",914065000,"10 days, 15 hours",918152333,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 62,9,9,"13 days, 6 hours",1147094000,"15 days, 9 hours",1329590888,Accepted + In Progress,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 63,9,9,"12 days, 11 hours",1077102000,"12 days, 4 hours",1052525000,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - User,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 64,9,7,"9 days, 9 hours",812394000,"16 days, 17 hours",1446678111,Accepted + In Progress,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 65,8,12,"8 days, 16 hours",751447000,"19 days, 20 hours",1716610125,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 66,8,4,"4 days, 2 hours",355014500,"6 days, 20 hours",593460750,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 67,8,5,"7 days, 16 hours",662973500,"7 days, 5 hours",625796000,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - Customer,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 68,8,9,"12 days, 23 hours",1123170500,"12 days, 13 hours",1086567500,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 69,8,7,"7 days, 9 hours",638527000,"6 days, 9 mins",518944125,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 70,7,14,"11 days, 10 hours",989215000,"26 days, 8 hours",2278090714,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 71,7,10,"14 days, 12 hours",1254596000,"12 days, 18 hours",1104654000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 72,7,6,"28 days, 16 hours",2479944000,"44 days, 21 hours",3880062714,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 73,7,8,"8 days, 9 hours",726890000,"8 days, 16 hours",750958428,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 74,6,13,"8 days, 10 hours",729000000,"9 days, 7 hours",803062000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 75,6,9,"7 days, 11 hours",644812000,"5 days, 17 hours",495881833,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 76,6,8,"11 days, 3 hours",961697500,"13 days, 13 hours",1172668666,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 77,6,6,"7 days, 17 hours",668355000,"8 days, 3 hours",702939500,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - Implementation,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 78,6,8,"18 days, 9 hours",1587931000,"41 days, 20 hours",3617604666,Accepted + In Progress,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 79,6,7,"27 days, 3 hours",2347041500,"33 days, 23 hours",2936397500,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 80,6,7,"7 days, 12 hours",649905500,"7 days, 12 hours",651215500,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 81,6,11,"15 days, 3 hours",1308601500,"15 days, 22 hours",1377639666,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 82,6,7,"13 days, 9 hours",1157032500,"25 days, 3 hours",2174326500,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 83,5,16,"13 days, 10 hours",1160127000,"12 days, 10 hours",1073020200,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 84,5,12,"13 days, 4 hours",1138151000,"13 days, 15 hours",1179709600,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 85,5,11,"7 days, 15 hours",659140000,"7 days, 16 hours",664331800,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 86,5,9,"8 days, 17 hours",754177000,"13 days, 15 hours",1179604200,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - Vendor,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 87,5,9,"13 days, 15 hours",1179141000,"17 days, 3 hours",1481376200,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 88,5,10,"7 days, 13 hours",652425000,"7 days, 7 hours",633121000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 89,5,10,"7 days, 13 hours",652048000,"44 days, 15 hours",3856326200,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 90,5,9,"14 days, 5 hours",1229530000,"16 days, 8 hours",1411312800,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - Implementation,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 91,5,7,"13 days, 11 hours",1165638000,"12 days, 8 hours",1067213400,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - Customer,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 92,5,8,"8 days, 14 hours",744443000,"8 days, 2 hours",701820600,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - Implementation,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 93,5,6,"11 days, 15 hours",1007617000,"8 days, 23 hours",775285200,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 94,5,5,"10 days, 20 hours",939110000,"9 days, 10 hours",816076600,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + Wait - User,Completed + Resolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 95,5,6,"15 days, 13 hours",1344702000,"12 days, 33 mins",1038801000,Accepted + In Progress,Accepted + In Progress,Accepted + Wait,Accepted + Wait,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 96,5,6,"6 days, 7 hours",547057000,"19 days, 4 hours",1658283800,Accepted + In Progress,Accepted + In Progress,Accepted + Wait,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 97,5,7,"8 days, 16 hours",751667000,"10 days, 23 hours",950332400,Accepted + In Progress,Accepted + In Progress,Accepted + Wait,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 98,5,7,"7 days, 8 hours",635744000,"8 days, 13 hours",741052000,Accepted + In Progress,Accepted + In Progress,Completed + In Call,Completed + In Call,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 99,5,7,"7 days, 15 hours",661887000,"7 days, 17 hours",667526000,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 100,4,13,"14 days, 2 hours",1218703500,"39 days, 9 hours",3403896250,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 101,4,12,"8 days, 8 hours",720605000,"34 days, 2 hours",2946002250,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 102,4,11,"9 days, 10 hours",816362500,"8 days, 7 hours",719065000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 103,4,12,"8 days, 7 hours",717922000,"9 days, 21 hours",853420000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 104,4,9,"15 days, 21 hours",1372571000,"26 days, 4 hours",2261396500,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - Implementation,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 105,4,10,"11 days, 1 hour",954424000,"11 days, 22 hours",1031373750,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 106,4,8,"10 days, 5 hours",885470000,"10 days, 8 hours",892815750,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 107,4,8,"8 days, 22 hours",771171500,"14 days, 6 hours",1232455500,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + Wait - Vendor,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 108,4,9,"12 hours, 10 mins",43841500,"3 days, 44 mins",261874000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - Vendor,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
