Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116,Step 117,Step 118,Step 119,Step 120,Step 121,Step 122,Step 123,Step 124
Variant 28,1,29,"96 days, 15 hours",8348536000,"96 days, 15 hours",8348536000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_100-complete,01_HOOFD_190_2-complete,05_EIND_020-complete,05_EIND_030_2-complete,05_EIND_050-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,06_VD_010-complete,05_EIND_010-complete,05_EIND_030_1-complete,05_EIND_040-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,05_EIND_070-complete,05_EIND_060-complete,01_HOOFD_200-complete,01_HOOFD_790-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 29,1,44,"95 days, 12 hours",8253282000,"95 days, 12 hours",8253282000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,06_VD_010-complete,05_EIND_010-complete,01_HOOFD_050-complete,01_HOOFD_130-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_HOOFD_790-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 30,1,63,"97 days, 12 hours",8427229000,"97 days, 12 hours",8427229000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,10_UOV_030-complete,01_HOOFD_065_2-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,06_VD_010-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_440_1-complete,01_HOOFD_440_2-complete,01_HOOFD_445-complete,01_HOOFD_451-complete,01_HOOFD_455-complete,01_HOOFD_456-complete,01_HOOFD_465-complete,10_UOV_010-complete,10_UOV_020-complete,10_UOV_040-complete,10_UOV_045-complete,10_UOV_050_1-complete,01_HOOFD_450-complete,01_HOOFD_460-complete,01_HOOFD_190_2-complete,10_UOV_050_2-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_HOOFD_490_3-complete,01_HOOFD_100-complete,10_UOV_060-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_BB_540-complete,01_BB_770-complete,01_HOOFD_790-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 31,1,40,"54 days, 11 hours",4706786000,"54 days, 11 hours",4706786000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,06_VD_010-complete,01_HOOFD_100-complete,01_HOOFD_190_2-complete,01_HOOFD_490_3-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 32,1,43,"95 days, 12 hours",8253890000,"95 days, 12 hours",8253890000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_490_3-complete,01_HOOFD_065_1-complete,06_VD_010-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_BB_540-complete,01_BB_770-complete,01_HOOFD_790-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 33,1,46,"85 days, 1 hour",7347600000,"85 days, 1 hour",7347600000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,06_VD_010-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_BB_540-complete,01_HOOFD_790-complete,01_BB_770-complete,01_HOOFD_490_3-complete,01_HOOFD_065_2-complete,01_HOOFD_190_2-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_HOOFD_100-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 34,1,38,"74 days, 15 hours",6448345000,"74 days, 15 hours",6448345000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_190_2-complete,01_HOOFD_065_2-complete,06_VD_010-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 35,1,41,"70 days, 13 hours",6097244000,"70 days, 13 hours",6097244000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_100-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_190_2-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,06_VD_010-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 36,1,37,"41 days, 12 hours",3588832000,"41 days, 12 hours",3588832000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_100-complete,01_HOOFD_065_2-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,06_VD_010-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_2-complete,01_HOOFD_490_3-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 37,1,38,"51 days, 15 hours",4460413000,"51 days, 15 hours",4460413000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_065_2-complete,01_HOOFD_100-complete,01_HOOFD_190_2-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,06_VD_010-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 38,1,34,"22 days, 11 hours",1941798000,"22 days, 11 hours",1941798000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_190_2-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,06_VD_010-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_130-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_500-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 39,1,39,"26 days, 9 hours",2281731000,"26 days, 9 hours",2281731000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_100-complete,01_HOOFD_190_2-complete,01_HOOFD_065_2-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_100-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 40,1,54,"1 year, 157 days",45183600000,"1 year, 157 days",45183600000,01_HOOFD_065_2-complete,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,01_HOOFD_090-complete,06_VD_010-complete,01_HOOFD_450-complete,01_HOOFD_460-complete,01_HOOFD_190_2-complete,10_UOV_050_2-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_440_1-complete,01_HOOFD_440_2-complete,01_HOOFD_445-complete,01_HOOFD_451-complete,01_HOOFD_455-complete,01_HOOFD_465-complete,10_UOV_010-complete,10_UOV_020-complete,10_UOV_045-complete,10_UOV_040-complete,10_UOV_050_1-complete,10_UOV_030-complete,10_UOV_060-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_490_3-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 41,1,55,"268 days, 8 hours",23186346000,"268 days, 8 hours",23186346000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_460-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_090-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_065_1-complete,01_HOOFD_015-complete,01_HOOFD_180-complete,01_HOOFD_210_2-complete,01_HOOFD_195_1-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_270-complete,01_HOOFD_490_3-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_440_1-complete,01_HOOFD_450-complete,01_HOOFD_440_2-complete,01_HOOFD_445-complete,01_HOOFD_451-complete,01_HOOFD_455-complete,01_HOOFD_465-complete,10_UOV_010-complete,10_UOV_020-complete,10_UOV_030-complete,10_UOV_040-complete,10_UOV_045-complete,10_UOV_050_2-complete,10_UOV_050_1-complete,10_UOV_060-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_HOOFD_520-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 42,1,39,"21 days, 13 hours",1862029000,"21 days, 13 hours",1862029000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_100-complete,01_HOOFD_065_2-complete,01_HOOFD_190_2-complete,01_HOOFD_490_3-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 43,1,38,"60 days, 8 hours",5215906000,"60 days, 8 hours",5215906000,01_HOOFD_030_2-complete,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_100-complete,01_HOOFD_065_2-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_120-complete,01_HOOFD_190_2-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_510_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 44,1,39,"58 days, 12 hours",5056175000,"58 days, 12 hours",5056175000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_100-complete,01_HOOFD_190_2-complete,01_HOOFD_065_2-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,06_VD_010-complete,05_EIND_010-complete,01_HOOFD_050-complete,01_HOOFD_130-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_100-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 45,1,38,"48 days, 15 hours",4203194000,"48 days, 15 hours",4203194000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_100-complete,01_HOOFD_065_2-complete,01_HOOFD_190_2-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,05_EIND_010-complete,01_HOOFD_050-complete,01_HOOFD_130-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,06_VD_010-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 46,1,40,"45 days, 14 hours",3938876000,"45 days, 14 hours",3938876000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_100-complete,01_HOOFD_190_2-complete,01_HOOFD_065_2-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,06_VD_010-complete,01_HOOFD_100-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
